organ,organ_ID,anatomical_structure_of,source_spatial_entity,node_name,label,OntologyID,representation_of,svg file of single 2DFTU,exist_asctb,type,REF/1,REF/1/DOI,REF/1/NOTES,Inset #,,,,,,,,,,,,,,,,
#Kidney,UBERON:0002113,#FTUThickAscendingLimb,#2DRefObjects,Thick_Ascending_Limb_Cell_2,kidney loop of Henle thick ascending limb epithelial cell,CL:1001106,http://purl.obolibrary.org/obo/CL_1001106,thick_ascending_loop_of_henle,1,CT,,,,,,,,,,,,,,,,,,,,
#Kidney,UBERON:0002113,#FTUThickAscendingLimb,#2DRefObjects,Thick_Ascending_Limb_Cell_3,kidney loop of Henle thick ascending limb epithelial cell,CL:1001106,http://purl.obolibrary.org/obo/CL_1001106,thick_ascending_loop_of_henle,1,CT,,,,,,,,,,,,,,,,,,,,
#Kidney,UBERON:0002113,#FTUThickAscendingLimb,#2DRefObjects,Thick_Ascending_Limb_Cell_4,kidney loop of Henle thick ascending limb epithelial cell,CL:1001106,http://purl.obolibrary.org/obo/CL_1001106,thick_ascending_loop_of_henle,1,CT,,,,,,,,,,,,,,,,,,,,
#Kidney,UBERON:0002113,#FTUThickAscendingLimb,#2DRefObjects,Thick_Ascending_Limb_Cell_5,kidney loop of Henle thick ascending limb epithelial cell,CL:1001106,http://purl.obolibrary.org/obo/CL_1001106,thick_ascending_loop_of_henle,1,CT,,,,,,,,,,,,,,,,,,,,
#Kidney,UBERON:0002113,#FTUThickAscendingLimb,#2DRefObjects,Thick_Ascending_Limb_Cell_6,kidney loop of Henle thick ascending limb epithelial cell,CL:1001106,http://purl.obolibrary.org/obo/CL_1001106,thick_ascending_loop_of_henle,1,CT,,,,,,,,,,,,,,,,,,,,
#Kidney,UBERON:0002113,#FTUThickAscendingLimb,#2DRefObjects,Thick_Ascending_Limb_Cell_7,kidney loop of Henle thick ascending limb epithelial cell,CL:1001106,http://purl.obolibrary.org/obo/CL_1001106,thick_ascending_loop_of_henle,1,CT,,,,,,,,,,,,,,,,,,,,
#Kidney,UBERON:0002113,#FTUThickAscendingLimb,#2DRefObjects,Thick_Ascending_Limb_Cell_8,kidney loop of Henle thick ascending limb epithelial cell,CL:1001106,http://purl.obolibrary.org/obo/CL_1001106,thick_ascending_loop_of_henle,1,CT,,,,,,,,,,,,,,,,,,,,
#Kidney,UBERON:0002113,#FTUThickAscendingLimb,#2DRefObjects,Thick_Ascending_Limb_Cell_9,kidney loop of Henle thick ascending limb epithelial cell,CL:1001106,http://purl.obolibrary.org/obo/CL_1001106,thick_ascending_loop_of_henle,1,CT,,,,,,,,,,,,,,,,,,,,
#Kidney,UBERON:0002113,#FTUCorticalCollectingDuct,#2DRefObjects,Endothelium_Peritubular_Capillary,peritubular capillary endothelial cell,CL:1001033,http://purl.obolibrary.org/obo/CL_1001033,thick_ascending_loop_of_henle,1,CT,,,,,,,,,,,,,,,,,,,,
#Kidney,UBERON:0002113,#FTUDescendingThinLimb,#2DRefObjects,Descending_Thin_Limb_Cell_1,kidney loop of Henle thin descending limb epithelial cell,CL:1001111,http://purl.obolibrary.org/obo/CL_1001111,descending_thin_loop_of_henle,1,CT,,,,,,,,,,,,,,,,,,,,
